Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5§, Confirmed, Current week","Invasive pneumococcal disease, age < 5§, Confirmed, Current week, flag ","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†, flag","Invasive pneumococcal disease, age < 5§, Probable, Current week","Invasive pneumococcal disease, age < 5§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2018†","Invasive pneumococcal disease, age < 5§, Probable, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
KANSAS,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
WEST NORTH CENTRAL,2019,1,,-,4,,,-,,-,,-,2,,,-,,-,,WEST NORTH CENTRAL,20190120
OKLAHOMA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
MARYLAND,2019,1,,-,3,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190133
PENNSYLVANIA,2019,1,,-,3,,,-,2,,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
MISSISSIPPI,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
WEST SOUTH CENTRAL,2019,1,,-,11,,,-,1,,,-,2,,,-,,-,,WEST SOUTH CENTRAL,20190143
NEW ENGLAND,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20190102
NEW HAMPSHIRE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
AMERICAN SAMOA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190564
COLORADO,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
TOTAL,2019,1,4,,32,,4,,18,,1,,3,,1,,,-,,TOTAL,20190170
MISSOURI,2019,1,,-,3,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
ARIZONA,2019,1,,-,5,,,-,1,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190149
EAST NORTH CENTRAL,2019,1,,-,8,,,-,3,,1,,1,,1,,,-,,EAST NORTH CENTRAL,20190114
SOUTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
MIDDLE ATLANTIC,2019,1,,-,8,,,-,5,,,-,1,,,-,,-,MIDDLE ATLANTIC,,20190109
DISTRICT OF COLUMBIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
ARKANSAS,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
NEBRASKA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
NEW JERSEY,2019,1,,-,2,,,-,1,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
NEVADA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
MOUNTAIN,2019,1,,-,7,,,-,3,,,-,1,,,-,,-,,MOUNTAIN,20190148
ILLINOIS,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
MICHIGAN,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
CALIFORNIA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"CALIFORNIA
(37.211164, -119.662127)",,20190159
OHIO,2019,1,,-,4,,,-,3,,1,,1,,1,,,-,"OHIO
(40.415534, -82.70936)",,20190118
NEW YORK,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
WEST VIRGINIA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
NEW MEXICO,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
WISCONSIN,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190119
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
IDAHO,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
NORTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
TEXAS,2019,1,,-,8,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
CONNECTICUT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190103
TENNESSEE,2019,1,,-,3,,,-,2,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190142
WYOMING,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
MINNESOTA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
ALABAMA,2019,1,,-,2,,,-,2,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190139
MASSACHUSETTS,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
EAST SOUTH CENTRAL,2019,1,,-,5,,,-,5,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190138
PACIFIC,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC,20190157
KENTUCKY,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
CONNECTICUT,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190203
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
RHODE ISLAND,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190266
VIRGINIA,2019,2,,-,2,,,-,1,,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190236
EAST SOUTH CENTRAL,2019,2,,-,5,,,-,8,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190238
DISTRICT OF COLUMBIA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
LOUISIANA,2019,2,,-,4,,,-,1,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190245
ALASKA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190258
IOWA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20190221
TENNESSEE,2019,2,,-,3,,,-,3,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190242
EAST NORTH CENTRAL,2019,2,,-,8,,1,,11,,,-,1,,1,,,-,,EAST NORTH CENTRAL,20190214
ARIZONA,2019,2,,-,5,,,-,2,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190249
COLORADO,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190250
ILLINOIS,2019,2,,-,4,,,-,4,,,-,1,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190215
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190267
NORTH CAROLINA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190269
WYOMING,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190256
KENTUCKY,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190240
WEST SOUTH CENTRAL,2019,2,,-,11,,,-,2,,,-,2,,,-,,-,,WEST SOUTH CENTRAL,20190243
SOUTH ATLANTIC,2019,2,6,,12,,10,,6,,,-,2,,,-,,-,,SOUTH ATLANTIC,20190228
AMERICAN SAMOA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190264
NEW YORK CITY,2019,2,,-,4,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20190212
WISCONSIN,2019,2,,-,3,,1,,1,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190219
PENNSYLVANIA,2019,2,,-,3,,,-,3,,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
ARKANSAS,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190244
KANSAS,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190222
TEXAS,2019,2,,-,8,,,-,1,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190247
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190265
FLORIDA,2019,2,3,,4,,7,,1,,,-,1,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190231
DELAWARE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
US RESIDENTS,2019,2,9,,32,,17,,50,,,-,3,,1,,2,,,US RESIDENTS,20190201
NEW JERSEY,2019,2,,-,2,,,-,2,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190210
NEW ENGLAND,2019,2,2,,4,,3,,4,,,-,0,,,-,,-,,NEW ENGLAND,20190202
MASSACHUSETTS,2019,2,,-,3,,,-,2,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
WEST NORTH CENTRAL,2019,2,1,,4,,1,,,-,,-,2,,,-,2,,,WEST NORTH CENTRAL,20190220
TOTAL,2019,2,9,,32,,17,,50,,,-,3,,1,,2,,,TOTAL,20190270
NEBRASKA,2019,2,,-,2,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20190225
MARYLAND,2019,2,2,,3,,2,,1,,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190233
OREGON,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"OREGON
(43.940449, -120.605279)",,20190261
WEST VIRGINIA,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
NEW MEXICO,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190254
INDIANA,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190216
SOUTH CAROLINA,2019,2,,-,5,,,-,2,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190268
OKLAHOMA,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190246
MAINE,2019,2,2,,2,,2,,2,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190204
PACIFIC,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC,20190257
HAWAII,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190260
MIDDLE ATLANTIC,2019,2,,-,8,,,-,9,,,-,1,,,-,,-,MIDDLE ATLANTIC,,20190209
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190263
MISSISSIPPI,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
NEVADA,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190253
GEORGIA,2019,2,1,,4,,1,,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190232
OHIO,2019,2,,-,4,,,-,4,,,-,1,,1,,,-,"OHIO
(40.415534, -82.70936)",,20190218
UTAH,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190255
IDAHO,2019,2,,-,2,,2,,1,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190251
SOUTH DAKOTA,2019,2,1,,1,,1,,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
VERMONT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
NEW YORK,2019,2,,-,4,,,-,1,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190211
MISSOURI,2019,2,,-,3,,,-,,-,,-,1,,,-,1,,"MISSOURI
(38.3675, -92.477244)",,20190224
MONTANA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190252
NEW HAMPSHIRE,2019,2,,-,1,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
MINNESOTA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
ALABAMA,2019,2,,-,2,,,-,4,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190239
MICHIGAN,2019,2,,-,3,,,-,1,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190217
CALIFORNIA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"CALIFORNIA
(37.211164, -119.662127)",,20190259
WASHINGTON,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20190262
MOUNTAIN,2019,2,,-,7,,2,,10,,,-,1,,,-,,-,,MOUNTAIN,20190248
WEST NORTH CENTRAL,2019,3,2,,4,,3,,2,,,-,1,,1,,2,,,WEST NORTH CENTRAL,20190320
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190366
WASHINGTON,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20190362
OKLAHOMA,2019,3,1,,2,,1,,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190346
DELAWARE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190329
RHODE ISLAND,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190307
ARIZONA,2019,3,,-,5,,,-,2,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190349
CONNECTICUT,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190303
OHIO,2019,3,1,,4,,1,,6,,,-,1,,1,,,-,"OHIO
(40.415534, -82.70936)",,20190318
NORTH CAROLINA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20190334
WEST SOUTH CENTRAL,2019,3,1,,11,,1,,6,,,-,2,,,-,,-,,WEST SOUTH CENTRAL,20190343
DISTRICT OF COLUMBIA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190330
NORTH DAKOTA,2019,3,1,,1,,1,,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190326
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190368
MIDDLE ATLANTIC,2019,3,1,,8,,1,,13,,,-,1,,,-,,-,MIDDLE ATLANTIC,,20190309
SOUTH DAKOTA,2019,3,,-,1,,1,,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190327
VIRGINIA,2019,3,,-,2,,,-,1,,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190336
EAST SOUTH CENTRAL,2019,3,,-,5,,,-,13,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190338
LOUISIANA,2019,3,,-,4,,,-,1,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190345
NEW HAMPSHIRE,2019,3,,-,1,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190306
COLORADO,2019,3,,-,2,,,-,2,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190350
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190369
TENNESSEE,2019,3,,-,3,,,-,6,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190342
NEW YORK CITY,2019,3,,-,4,,,-,6,,,-,0,,,-,,-,,NEW YORK CITY,20190312
PENNSYLVANIA,2019,3,,-,3,,,-,3,,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190313
WISCONSIN,2019,3,,-,3,,1,,1,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190319
UTAH,2019,3,,-,2,,,-,2,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190355
GEORGIA,2019,3,,-,4,,1,,1,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190332
MICHIGAN,2019,3,,-,3,,1,,3,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190317
OREGON,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"OREGON
(43.940449, -120.605279)",,20190361
NEW MEXICO,2019,3,,-,1,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190354
MASSACHUSETTS,2019,3,,-,3,,,-,3,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190305
TEXAS,2019,3,,-,8,,,-,5,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190347
IOWA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20190321
MAINE,2019,3,,-,2,,2,,2,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190304
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190367
SOUTH CAROLINA,2019,3,,-,5,,,-,3,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190335
ALASKA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190358
SOUTH ATLANTIC,2019,3,,-,12,,10,,9,,,-,2,,,-,,-,,SOUTH ATLANTIC,20190328
MOUNTAIN,2019,3,,-,7,,3,,13,,,-,1,,,-,,-,,MOUNTAIN,20190348
KANSAS,2019,3,,-,2,,,-,,-,,-,1,,1,,,-,"KANSAS
(38.484729, -98.38018)",,20190322
ALABAMA,2019,3,,-,2,,,-,5,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190339
MARYLAND,2019,3,,-,3,,2,,1,,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190333
INDIANA,2019,3,,-,2,,,-,2,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190316
HAWAII,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190360
MISSISSIPPI,2019,3,,-,2,,,-,2,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190341
WEST VIRGINIA,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190337
AMERICAN SAMOA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190364
TOTAL,2019,3,5,,32,,24,,77,,,-,3,,2,,2,,,TOTAL,20190370
MONTANA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190352
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190363
PACIFIC,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC,20190357
FLORIDA,2019,3,,-,4,,7,,2,,,-,1,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190331
VERMONT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190308
ILLINOIS,2019,3,,-,2,,,-,4,,,-,1,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190315
CALIFORNIA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"CALIFORNIA
(37.211164, -119.662127)",,20190359
US RESIDENTS,2019,3,5,,32,,24,,77,,,-,3,,2,,2,,,US RESIDENTS,20190301
MINNESOTA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190323
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191363
NEW JERSEY,2019,3,,-,2,,,-,3,,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190310
NEW YORK,2019,3,1,,4,,1,,1,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190311
ARKANSAS,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190344
